name,short_prompt,long_prompt
Lock Off,"Fixed position hold","Professional [lockoff:10] static position maintaining [perfect:1.0] stability and composition"
Reveal Movement,"Gradual subject disclosure","Strategic [reveal:7] movement gradually [exposing:0.8] subject or environment for impact"
Follow Focus,"Continuous focus tracking","Smooth [follow:8] focus maintaining [sharp:0.9] subject focus throughout movement"
Whip Tilt,"Fast vertical movement blur","Rapid [whip:9] tilt movement creating [vertical:0.8] motion blur and dynamic transition"
Parallax Shift,"Depth separation movement","Subtle [parallax:7] movement creating [depth:0.8] separation between foreground and background"
Undercrank,"Accelerated motion effect","Classic [undercrank:6] technique creating [energetic:0.8] and accelerated movement quality"
Overcrank,"Slow motion film effect","Traditional [overcrank:4] technique producing [smooth:0.9] slow motion with film quality"
Match Cut Movement,"Seamless transition motion","Precise [match:8] movement creating [seamless:0.9] transitions between similar compositions"
Counterpoint,"Opposing subject movement","Strategic [counter:7] movement opposing subject motion creating [dynamic:0.8] visual tension"
Leading Movement,"Anticipatory camera motion","Anticipatory [leading:7] camera movement [preceding:0.8] subject action for dynamic composition"
Trailing Movement,"Following behind subject","Responsive [trailing:7] movement [following:0.8] behind subject action maintaining connection"
Infinity Focus,"Deep focus movement","Professional [infinity:8] focus movement maintaining [sharp:0.9] focus throughout depth range"
Macro Movement,"Extreme close-up motion","Specialized [macro:8] movement for [extreme:0.9] close-up detail and texture exploration"
360 Spin,"Complete rotation movement","Full [360:8] degree spin movement creating [complete:1.0] rotational perspective"
Pendulum Swing,"Rhythmic arc movement","Hypnotic [pendulum:6] swing movement with [rhythmic:0.8] back and forth motion"
Serpentine,"Snake-like curved movement","Fluid [serpentine:7] movement with [curved:0.8] snake-like path through environment"
Elevator Shot,"Vertical platform movement","Controlled [elevator:8] vertical movement with [precise:0.9] up and down motion"
Sliding Door,"Lateral reveal movement","Smooth [slide:8] movement mimicking [door:0.7] opening to reveal subject or scene"
Waterfall,"Cascading downward movement","Flowing [waterfall:7] downward movement with [cascading:0.8] natural motion quality"
Butterfly,"Gentle floating movement","Delicate [butterfly:6] movement with [gentle:0.8] floating and hovering characteristics"
Eagle Soar,"Majestic aerial movement","Majestic [eagle:8] soaring movement with [graceful:0.9] aerial perspective and control"
Submarine,"Underwater-style movement","Fluid [submarine:7] movement with [underwater:0.8] quality and submersed characteristics"
Satellite,"Orbital perspective movement","High [satellite:8] orbital movement providing [space:0.9] perspective and global view"
Microscope,"Scientific examination movement","Precise [microscope:8] movement for [scientific:0.9] examination and detailed analysis"
Telescope,"Astronomical viewing movement","Focused [telescope:8] movement for [astronomical:0.9] observation and distant subject tracking"
